index,demand,probability,sid,portfolio,portfolio_probability
Hepatitis_B,"[363112900, 315988000, 433055200, 395040000, 471817400, 361261800, 403415800, 437080000, 512217000, 499379600]",0.21400000000000008,Hepatitis_B_S4,2,0.5178083541321606
Hib,"[296797500, 286435900, 324747800, 327110000, 358279900, 386356000, 373120300, 367969400, 422523900, 380845900]",0.22000000000000008,Hib_S2,2,0.5178083541321606
Measles,"[403209300, 477992600, 574350300, 589385100, 625684300, 571410200, 1164655200, 647187900, 942801300, 1502330400]",0.16000000000000003,Measles_S4,2,0.5178083541321606
Mumps,"[28568900, 44316300, 29910400, 42925000, 43035900, 34138600, 37070300, 62755300, 51887400, 32244300]",0.2260000000000001,Mumps_S4,2,0.5178083541321606
PCV,"[229980600, 255538100, 322750600, 318306500, 363296300, 369410900, 285323300, 435396500, 470226400, 530917400]",0.19400000000000006,PCV_S1,2,0.5178083541321606
Pertussis,"[355092700, 355017700, 382913500, 346050200, 324302200, 373866000, 390207300, 358433200, 438275500, 333775300]",0.21400000000000008,Pertussis_S4,2,0.5178083541321606
Polio,"[597194100, 677401000, 776170500, 676082100, 773974800, 869915700, 861400800, 863844100, 895666700, 960509500]",0.17000000000000004,Polio_S1,2,0.5178083541321606
Rotavirus,"[185622400, 219556000, 256011100, 228026000, 455555300, 366778100, 385080400, 482266900, 714517200, 1041382600]",0.2220000000000001,Rotavirus_S2,2,0.5178083541321606
Rubella,"[309860900, 475793600, 289321200, 346819600, 619977400, 600887700, 656546100, 670139400, 781452000, 1090014900]",0.262,Rubella_S3,2,0.5178083541321606
Tetanus,"[649813800, 621341400, 724413900, 721858700, 673652300, 688070200, 637263500, 692825800, 620957100, 607789000]",0.26,Tetanus_S2,2,0.5178083541321606
Diphtheria,"[650619400, 668568900, 665299400, 940140800, 691353300, 1036773300, 1076234300, 1605949600, 1965251300, 2985442000]",0.19200000000000006,Diphtheria_S3,3,0.3321565006021024
HPV,"[27408100, 36795300, 44960900, 42153100, 54014700, 57247900, 67205500, 74837800, 78713600, 88601800]",0.16000000000000003,HPV_S1,3,0.3321565006021024
Hepatitis_B,"[313696200, 352566100, 365587100, 364855800, 492305000, 404150700, 512721300, 509046500, 282860400, 450400900]",0.14800000000000002,Hepatitis_B_S5,3,0.3321565006021024
Hib,"[308462400, 308564000, 317849200, 348113400, 353835500, 364190100, 361704000, 387351100, 363068900, 408753500]",0.21600000000000008,Hib_S1,3,0.3321565006021024
Measles,"[558200700, 568584000, 470701300, 569931600, 693752000, 880470900, 794733300, 944858600, 1111350000, 635813500]",0.272,Measles_S2,3,0.3321565006021024
Mumps,"[27042400, 37087600, 28641400, 52698100, 48223800, 57811500, 29019300, 42231300, 50964400, 97445800]",0.14600000000000002,Mumps_S5,3,0.3321565006021024
PCV,"[226908300, 266172900, 291470900, 280504500, 262950800, 362393100, 391298200, 377741900, 655734600, 539937000]",0.20200000000000007,PCV_S5,3,0.3321565006021024
Pertussis,"[330913600, 348707600, 372077900, 358905200, 359328000, 361641600, 392197100, 366714000, 428874500, 446770700]",0.2360000000000001,Pertussis_S1,3,0.3321565006021024
Polio,"[629319000, 636390100, 756892800, 753580500, 795712200, 761560800, 823600500, 812364000, 750291200, 951616700]",0.3320000000000001,Polio_S2,3,0.3321565006021024
Rotavirus,"[161531900, 199594100, 207829500, 305579800, 357437700, 377650900, 465052000, 624468600, 941692200, 743921500]",0.14800000000000002,Rotavirus_S5,3,0.3321565006021024
Rubella,"[375199800, 541952100, 425153100, 568072300, 445714300, 717977700, 625043900, 769890300, 719103700, 840127000]",0.18000000000000005,Rubella_S1,3,0.3321565006021024
Tetanus,"[629499200, 631449500, 590716800, 662222000, 654131200, 630990900, 743740500, 701074300, 765625500, 736675300]",0.2520000000000001,Tetanus_S1,3,0.3321565006021024
