manufacturer,capacity_scenario,capacity_scenario_probability,capacity
GSK,IPV_Shortage,0.0173,"[230957291.4264229, 230722103.1428492, 228559853.5392443, 225422101.7536467, 225659402.6970118, 224228781.8412727, 227987645.668713, 223467843.5106277, 230793210.538678, 229680436.3862291]"
Haffkine_Bio,IPV_Shortage,0.0173,"[80075860.67490654, 82530934.2967728, 80445188.26141201, 82184166.36193706, 81133147.88593327, 81559173.37345925, 80369101.49158579, 81996177.09249797, 80028229.9619249, 81560333.20382793]"
LG_Chem,IPV_Shortage,0.0173,"[43073320.60239457, 44024076.90220554, 43167504.7073037, 44199859.5352834, 43808142.38805041, 42979090.0124242, 43355229.95587923, 43934105.37430407, 43125405.78889076, 43890002.04883403]"
Merck_Sharp,IPV_Shortage,0.0173,"[56468423.0009959, 57480933.9325519, 57043935.74472847, 57116008.15786311, 56716038.85953454, 56279311.64395668, 56566008.97125544, 56335406.56076082, 56155603.19056614, 57581248.15494256]"
PT_Bio,IPV_Shortage,0.0173,"[45657440.81039467, 46157003.84449197, 46491536.23550011, 46343965.21682902, 45219388.87524485, 45885882.88520191, 45695734.90236544, 45714163.75189137, 45334440.70118432, 45629257.56456828]"
Panacea_Biotec,IPV_Shortage,0.0173,"[10959438.02302862, 10761701.49595072, 10678307.19645471, 10766778.46886627, 10721383.1682027, 10963948.90907691, 11075804.22449513, 10994720.38780214, 10787180.50312136, 10665802.80271899]"
Pfizer,IPV_Shortage,0.0173,"[84350299.86326493, 85078178.67602602, 83171268.78996442, 83005595.94886707, 84559107.6329948, 85181020.49892011, 84998794.39321403, 85362139.9681993, 84531611.83766377, 85067806.03767054]"
Sanofi,IPV_Shortage,0.0173,"[88239776.01782914, 87354009.37536107, 80956958.71212536, 82387808.28316866, 84113646.1982413, 86180813.55353141, 85890354.58722976, 87774208.29729289, 89090485.78514071, 88322393.94773294]"
Serum_Institute,IPV_Shortage,0.0173,"[581810028.733283, 582805666.6756552, 593103692.9334234, 581582328.7756518, 581360614.6096064, 592275127.5139768, 583867886.2317485, 597100558.8326768, 589330843.950811, 577192240.513312]"
AJ_Vaccines,pandemic,0.0275,"[7846936.457559747, 7604373.83431966, 7022471.918323525, 3864125.646484325, 4958347.206867578, 7302718.286438799, 7836754.061421023, 7707394.534754427, 7751790.726774826, 7786750.964182944]"
BB_NCIPD,pandemic,0.0275,"[38706104.44927726, 38530272.9688027, 39336472.87761855, 22088960.57797708, 25245478.65574609, 36961182.57267145, 38555085.42075889, 39133646.08058693, 39692242.22171277, 39159600.73315016]"
Bharat_Biotech,pandemic,0.0275,"[60468054.98736136, 61160596.0741713, 60454744.19631936, 34049140.87035504, 39666730.35315316, 57165853.80983985, 60876698.77678545, 61269983.13874111, 61270752.74378188, 61201947.45475055]"
Bilthoven,pandemic,0.0275,"[12288849.49803977, 12040574.0061374, 11223509.31011471, 5953625.570681135, 7623043.865913883, 11493976.06561419, 11904422.60916074, 12188240.33866748, 12157251.49109332, 11847809.0153721]"
Biological_E,pandemic,0.0275,"[167360987.9952395, 167699141.7371112, 164588971.2245925, 92639200.03251874, 108529586.2603367, 152871966.2387353, 165850796.7750917, 161932436.514915, 164266690.9508326, 162653804.4286453]"
China_National,pandemic,0.0275,"[12790281.90461673, 12619456.93457379, 12823159.8603953, 7035029.686402843, 8490891.291199554, 11993919.73954161, 12973702.91650764, 13022536.9737325, 12959605.02759565, 12891953.20169987]"
GSK,pandemic,0.0275,"[223681292.292528, 228527535.899136, 230253399.7286468, 129476834.0629002, 145653913.476492, 212078558.5878233, 227381876.9705693, 227659799.8359719, 229773763.7624524, 225942521.7418217]"
Haffkine_Bio,pandemic,0.0275,"[79859364.27920613, 80696907.89268008, 80080778.03015712, 45505027.13708441, 52076066.20206453, 77385751.23338348, 82411038.93613851, 82111517.40855727, 80767627.02432153, 80909227.00682233]"
LG_Chem,pandemic,0.0275,"[43273480.2450263, 44045031.25601678, 43970878.264599, 24189419.56483544, 28349102.38539902, 41028307.36431143, 44483552.68425997, 43440029.75718819, 44408978.60999963, 44224202.46427637]"
Merck_Sharp,pandemic,0.0275,"[57718617.16261272, 56649259.52499857, 56797837.08619849, 31789467.08333761, 36544739.96757168, 54042992.50809439, 56578050.03279136, 56988000.5761906, 57950236.62741001, 57228387.19408423]"
PT_Bio,pandemic,0.0275,"[46579840.51065809, 45359318.80992211, 45849674.64341396, 26041047.77401218, 30057792.93612142, 43675740.8377603, 46612979.37132865, 46357853.10001367, 46467994.28392477, 45312703.86154444]"
Panacea_Biotec,pandemic,0.0275,"[10872502.00382381, 10883996.44999601, 11039679.17121913, 6087046.502416172, 7039384.538162349, 10055017.65218597, 10730420.52557207, 10908311.86517329, 11041017.91619406, 10686271.11450254]"
Pfizer,pandemic,0.0275,"[85472481.86155264, 84040784.13945815, 83121361.71518882, 47549989.89438882, 53463574.9138754, 79245566.33609384, 83982679.87447467, 84857348.1860041, 84183965.01271354, 84288605.19119924]"
Sanofi,pandemic,0.0275,"[86682280.93684387, 87533395.13931516, 82848899.08015616, 45519130.4473935, 56161128.27609736, 81650078.92397593, 87186246.91856599, 87128609.88058715, 87912414.83890069, 88209596.25310875]"
Serum_Institute,pandemic,0.0275,"[594483650.2025492, 584855903.7639076, 580372993.7360258, 333636995.4626023, 383131927.9066503, 562819901.5689405, 578773497.006857, 579467947.7291291, 582180401.187858, 586092665.832707]"
AJ_Vaccines,funding_delay,0.0778,"[7781786.116347061, 7602636.773816097, 7210793.230579713, 6957185.517528691, 7562230.852723964, 7633197.079136864, 7830856.407286691, 7629629.763340543, 7785376.13775934, 7754412.353089509]"
BB_NCIPD,funding_delay,0.0778,"[39543385.64187515, 39695119.74004466, 39865206.98186901, 38612678.20602389, 38452668.53272844, 39406652.84555735, 38728131.14112151, 39757441.54201321, 39360529.42244654, 39145648.27938469]"
Bharat_Biotech,funding_delay,0.0778,"[59954121.60494834, 60582229.10946876, 61771507.78954537, 61073397.19352483, 60053646.7077295, 61325310.980489, 62117264.03349843, 62188378.4766141, 61129287.68511669, 59860258.15913312]"
Bilthoven,funding_delay,0.0778,"[12244542.10614536, 11887226.38425461, 11287410.51865787, 10877115.04073688, 11800463.16999242, 12043440.39347867, 11924454.56877578, 12103202.38039448, 12087623.23634916, 11874974.91526074]"
Biological_E,funding_delay,0.0778,"[162977868.7999178, 161700319.6426229, 163473789.2391391, 167448000.2832701, 164704612.9985704, 160893503.7919329, 164629560.7161789, 162021414.5890239, 166522152.7036723, 166580027.7270556]"
China_National,funding_delay,0.0778,"[12968407.58005954, 12621876.55149799, 13054249.08288044, 12708011.16150141, 12771905.35911181, 12663088.98385342, 12664452.10089018, 12981943.95001326, 12927704.60808876, 12883595.96588409]"
GSK,funding_delay,0.0778,"[229469944.4155116, 224762971.4490838, 229617720.382445, 224404784.6725665, 231150313.8461615, 225684827.6352697, 222353196.8965158, 227973408.3358538, 222343072.6369049, 224510854.7280686]"
Haffkine_Bio,funding_delay,0.0778,"[80190663.60885748, 79415841.50973621, 82521393.45663588, 82222063.92449516, 79408136.8676518, 80493230.01427592, 80381596.3563667, 80986143.07797386, 81383668.28640181, 82342244.21590649]"
LG_Chem,funding_delay,0.0778,"[43208388.16885059, 44265933.33780379, 44218021.41603673, 43672260.50235838, 43426239.61709846, 43221365.07237941, 43315151.33599535, 43009746.92888773, 44394070.26099585, 44149503.55924762]"
Merck_Sharp,funding_delay,0.0778,"[56896738.36503894, 56639098.05478753, 56656699.66984425, 57571934.89174344, 58072938.45857697, 56524898.54462039, 56096524.68087935, 56960181.46775812, 56736296.73996873, 56139591.32387523]"
PT_Bio,funding_delay,0.0778,"[46013345.06061991, 46267576.95163585, 45381469.74511893, 45809007.80376843, 46130889.4379261, 46443027.25650309, 46281499.48255569, 45718376.13492524, 46171210.03846671, 45006776.65407218]"
Panacea_Biotec,funding_delay,0.0778,"[10824846.45245134, 10713624.96159867, 10954587.03085005, 11021589.42365513, 10955055.87784012, 10861552.20425713, 11058168.40490034, 10691008.11722844, 10750217.04819066, 10772627.03295863]"
Pfizer,funding_delay,0.0778,"[82290862.29883847, 82623882.98142515, 83973658.18600652, 85099806.89505288, 85143605.19525306, 83299685.81466594, 85311204.69145969, 82510956.56425735, 83610580.9306504, 84201952.92152351]"
Sanofi,funding_delay,0.0778,"[87039005.43706906, 87940688.17047532, 81457003.25953852, 80018756.22519445, 87001385.03128617, 87288881.74525553, 85729042.17996861, 87671353.01551408, 85797674.29111338, 87463652.78303005]"
Serum_Institute,funding_delay,0.0778,"[587994147.4420232, 580256043.7600101, 590037276.2497069, 596410389.0303092, 581809678.9857974, 592522818.0295241, 579930217.8639066, 590187382.1457042, 576198365.1987579, 591084801.4341794]"
AJ_Vaccines,innacurate_forecast,0.0023,"[7582078.317273106, 7685416.522975788, 7229187.079472315, 6876343.212136593, 7403284.187975224, 7822784.423868846, 7200878.648104698, 7590624.081470859, 7660201.349757188, 7737446.156565966]"
BB_NCIPD,innacurate_forecast,0.0023,"[39645344.73527932, 39730164.06068646, 39126130.74107231, 39917741.91793676, 38847269.71206255, 38733210.28670374, 39479674.81048501, 39601464.33299167, 39391034.80934218, 38974122.32245746]"
Bharat_Biotech,innacurate_forecast,0.0023,"[61359232.02854009, 60751258.87661512, 60830823.31124871, 60094161.1498273, 60725815.18803112, 60582506.04114673, 61819177.70488931, 61458986.18325736, 60598451.23540024, 61619079.85022609]"
Bilthoven,innacurate_forecast,0.0023,"[12134567.65021904, 11894069.67228721, 10995089.5155009, 10673049.48287484, 11743868.79897188, 12016833.0173666, 11362028.55391121, 12227945.29119703, 12186886.86686513, 12200428.42163971]"
Biological_E,innacurate_forecast,0.0023,"[163594614.5047265, 163289563.9936594, 164723549.0852198, 166765822.1171349, 163794907.4021208, 166674742.6074072, 166936967.0884984, 163363261.4610519, 161375726.40194, 161870079.9001192]"
China_National,innacurate_forecast,0.0023,"[12675999.62489471, 13034965.9553887, 12842968.23042495, 13030855.7945139, 12781831.64340193, 12601149.52439847, 12977997.36177081, 12812781.17489145, 12949278.24306403, 12628317.23620127]"
GSK,innacurate_forecast,0.0023,"[225437484.2721161, 225109219.3685447, 224318537.4021696, 219727594.3210144, 226352673.2035386, 225603310.4753801, 225632489.3024555, 228206095.554878, 231123078.5488426, 228731265.9289131]"
Haffkine_Bio,innacurate_forecast,0.0023,"[79790285.43956181, 81400927.34998462, 80527308.80130062, 82029766.64975005, 80744730.72193687, 80001817.12415381, 82506139.12322529, 80756766.28262296, 81233640.1285833, 81166278.9371553]"
LG_Chem,innacurate_forecast,0.0023,"[42940137.15195854, 44195236.84567678, 44146043.03395946, 42745810.87679394, 43915533.47284212, 44558422.03391469, 43249907.93679676, 44189996.67304181, 42636024.47185916, 44248083.99026724]"
Merck_Sharp,innacurate_forecast,0.0023,"[57212454.8527108, 56513299.07829033, 57112029.7199778, 57759287.5807361, 57084406.8611028, 57467994.29840418, 56779606.03747243, 57866381.06042114, 57476848.58406783, 58026476.52716432]"
PT_Bio,innacurate_forecast,0.0023,"[45608834.97938124, 45578865.63055577, 46219439.04119517, 45575229.52030399, 44573183.78725068, 46171546.11083059, 45552726.20693306, 46581779.40490696, 45862210.76719438, 45959241.74658306]"
Panacea_Biotec,innacurate_forecast,0.0023,"[10850508.21225998, 10909698.07698547, 11011212.01896106, 10675334.26148954, 10986673.35159421, 10994206.23506057, 11042875.01913017, 10790292.96093296, 10456864.42871895, 10692610.84014753]"
Pfizer,innacurate_forecast,0.0023,"[84561604.21523012, 83892315.31721993, 83386919.96450679, 81237123.68152425, 83453719.01206134, 84851725.2741983, 82464913.74396044, 84500858.40304266, 83190856.50399266, 83684801.26706111]"
Sanofi,innacurate_forecast,0.0023,"[87853583.26147614, 85685362.42899714, 82899859.93828273, 79498319.76950452, 87138548.78573675, 88431440.044142, 84538452.10542971, 86186486.55971001, 88404054.48510572, 88937683.15510517]"
Serum_Institute,innacurate_forecast,0.0023,"[595258242.3514286, 588573787.3675787, 574434821.4809194, 597032474.383839, 593830149.3443071, 576302307.2458234, 579153030.2131127, 590762415.1093178, 576488184.1737506, 587531376.7185537]"
AJ_Vaccines,supply_chain,0.0058,"[7831425.768166839, 7849066.336198928, 7097722.612500093, 7078499.21075491, 7441163.376020957, 7808004.57997827, 7273927.446845308, 7573601.889836869, 7859297.880193402, 7628317.012605307]"
BB_NCIPD,supply_chain,0.0058,"[38553396.60728067, 39179122.16585139, 38921105.60867874, 39049069.25249328, 38706279.45875171, 39346839.24630149, 39762511.5673087, 38904781.11762124, 39564677.39596853, 39941932.8060297]"
Bharat_Biotech,supply_chain,0.0058,"[60129350.96186356, 60398927.30882742, 61790489.49669565, 61899570.8308768, 60515281.37403607, 60972318.0372595, 57514365.1316961, 61523398.9811744, 61761670.30030259, 60943489.78819871]"
Bilthoven,supply_chain,0.0058,"[11856756.22366154, 11839871.29861499, 10935567.63180478, 10840601.05789828, 11546689.56840758, 12175539.69032103, 11430971.66387875, 11940268.02469447, 11854883.34953777, 11829128.34155362]"
Biological_E,supply_chain,0.0058,"[167353857.2101834, 167276816.7883607, 166173235.8053348, 166922433.5404145, 162876343.4391723, 167060845.6064174, 163223374.0699124, 163258880.3949563, 163326631.5894995, 162134863.8769723]"
China_National,supply_chain,0.0058,"[12734705.5674508, 12613999.10758601, 12921559.81387777, 12962672.27100355, 12577227.17883561, 12918157.68274205, 12338056.06847464, 12748830.86381466, 12960837.17091395, 12700589.53955791]"
GSK,supply_chain,0.0058,"[225249541.9899788, 223463424.3568773, 224214305.3270691, 221467702.0445582, 226373536.5403192, 228587522.361188, 228324192.3293728, 230740241.6946175, 226127252.3714783, 224253808.5931654]"
Haffkine_Bio,supply_chain,0.0058,"[80156563.39915426, 80323106.6835038, 81433418.92372362, 81110529.33027306, 79623012.49159452, 81579945.31939103, 77985182.72773583, 82259946.16239925, 81943195.65692824, 79866293.59555832]"
LG_Chem,supply_chain,0.0058,"[44401325.24828988, 44073201.03381531, 43318214.34062488, 43681925.02438199, 43074662.69926474, 43166159.0296264, 44042940.31240329, 42847821.63501769, 41515283.86114381, 44142736.76381607]"
Merck_Sharp,supply_chain,0.0058,"[56968867.55968973, 54727677.96574365, 57230624.25746106, 56239868.47326493, 57287069.63338571, 57367950.54386107, 56004591.71372088, 55879995.58380082, 57704824.40320623, 57859521.50311015]"
PT_Bio,supply_chain,0.0058,"[46576315.98152725, 45142389.59634751, 46774016.448356, 44994772.30985499, 45011975.91043174, 45416077.91863789, 45698468.26851296, 46399061.33532031, 46682421.06339798, 45271894.71125606]"
Panacea_Biotec,supply_chain,0.0058,"[10688864.93634684, 11090199.69172253, 10805508.56256896, 10973095.67732968, 10729534.86713093, 10951528.95652583, 10835299.86519654, 10958635.54204025, 10324792.98585327, 10747522.22284225]"
Pfizer,supply_chain,0.0058,"[82943803.56350297, 84437635.60089143, 83999560.89229593, 80984888.4333373, 85203204.02389966, 84491592.54691063, 82498270.36981623, 85357289.6526238, 84171907.50291024, 82822704.45427282]"
Sanofi,supply_chain,0.0058,"[87967616.3806553, 85901409.68139106, 80653812.83287781, 81247661.40709801, 84250525.04688358, 88639576.85405837, 82221650.33522905, 85743025.65348564, 86554869.71377598, 89127849.31343503]"
Serum_Institute,supply_chain,0.0058,"[574654623.7185268, 594586313.4289303, 589719876.1666712, 587314470.6372861, 586896236.4425007, 574079128.9113944, 589156090.7654167, 585752136.4526979, 581435053.2851604, 577687696.575264]"
AJ_Vaccines,other,0.0275,"[7838444.681742114, 7794398.019541346, 6953265.840022115, 6814301.296345029, 7421170.060366019, 7860290.712846363, 7291672.960458389, 7704751.442375503, 7677189.386629242, 7856979.159008482]"
BB_NCIPD,other,0.0275,"[39490275.24806817, 39311003.37438668, 39397530.65984027, 39530105.84498212, 39919797.21640123, 38793026.19754006, 38848954.45544121, 38446684.37001453, 39224067.52413405, 38706680.05129147]"
Bharat_Biotech,other,0.0275,"[59961633.3547705, 61624792.86271014, 60160180.00535759, 60815841.86415287, 61566537.41583222, 61428257.12276237, 57001741.84199098, 59931256.84172614, 60094400.6874633, 60073136.3166089]"
Bilthoven,other,0.0275,"[12128532.19661031, 11947344.20451323, 11122255.49751205, 10729081.79373382, 11527552.9127728, 11903016.85924864, 11284875.67940201, 12168744.54435636, 11995763.51444297, 12070187.05024913]"
Biological_E,other,0.0275,"[165064929.6388455, 168142366.0128357, 165532298.8240681, 161308267.2196892, 162232425.1607947, 162199316.0287727, 164811135.4830879, 164015003.0785925, 161287516.0592375, 162623532.3231154]"
China_National,other,0.0275,"[12926200.00287652, 12475438.9601786, 13007263.43663217, 12766635.87459576, 12765126.14822865, 12991308.54603742, 12197892.75055079, 12654937.84805322, 12506358.17857272, 12680952.76300607]"
GSK,other,0.0275,"[230839107.4331595, 230370302.6658095, 229735430.6272914, 225593972.1132529, 229158139.1453632, 227854365.0065534, 224976577.0299284, 230372120.9049333, 228595386.0027055, 228156788.9375935]"
Haffkine_Bio,other,0.0275,"[80451685.06593671, 79523834.03174348, 80095077.05170442, 80993500.47832437, 81912866.3091366, 80740425.4466438, 77562744.57172512, 80703894.91720626, 77335908.25122091, 79660924.06646033]"
LG_Chem,other,0.0275,"[43039503.10651826, 42876805.22434981, 44010153.49537208, 43046567.89496805, 42804576.5078717, 43614711.77198794, 43677652.72023927, 44488799.65306269, 41501842.65864995, 43514232.96137848]"
Merck_Sharp,other,0.0275,"[57500107.25917953, 53305725.37420485, 56792105.61702595, 55867822.4938167, 56043824.5816478, 57107414.68743501, 57669125.98336667, 55957548.42449048, 57375796.89652382, 55911592.43675558]"
PT_Bio,other,0.0275,"[46606392.98975441, 46293481.55039343, 45408806.0048218, 45265718.61553861, 45559396.52825542, 45544047.64770812, 44718043.72897191, 46078760.74801695, 45943146.27728438, 45511308.27282052]"
Panacea_Biotec,other,0.0275,"[10767253.25728967, 10711528.39392783, 11068496.66823661, 11046507.84612012, 10968276.56616096, 10712921.93201761, 10632872.31641339, 10821321.64927093, 10340495.80102606, 10747854.7095981]"
Pfizer,other,0.0275,"[85444251.2303147, 84318740.55897625, 83519126.22150178, 79087631.85206239, 82682130.46589284, 82578189.44727263, 83714768.2689638, 82830429.14801002, 85405509.2230422, 82639387.02867897]"
Sanofi,other,0.0275,"[88590563.9429312, 86836129.89446063, 82910332.02931581, 80653499.14889881, 85108519.55905597, 88946921.49201176, 83822507.62269855, 87105606.3499676, 85656792.11861213, 86732965.67416374]"
Serum_Institute,other,0.0275,"[580400745.8132372, 586658507.6229489, 592262450.1500143, 583736555.6369367, 583346888.4722354, 576550418.896601, 589910807.2318653, 595169474.4654818, 578522574.919962, 588947145.1914849]"
